,Date,Home Team,Away Team,Referee,AttackRateH,AttackRateA,DefenceRateH,DefenceRateA,DGH,DGA,Home Rank,Away Rank,Avg HST,Avg AST,Avg HF,Avg AF,Avg HC,Avg AC,Avg HR,Avg AR,Avg HY,Avg AY
3539,10-11-19,Liverpool,Man City,M Oliver,0.602,0.398,0.654,0.346,0.865,0.875,0.95,1,0.015,0.013,0.021,0.013,0.01,0.034,0.012,0,0,0.014
3648,19-01-20,Liverpool,Man United,C Pawson,0.531,0.469,0.726,0.274,0.448,0.792,0.95,0.75,0.012,0.013,0.012,0.021,0.023,0.01,0.005,0,0.005,0.017
3460,14-09-19,Liverpool,Newcastle,A Marriner,0.561,0.439,0.9,0.1,0.396,0.775,0.95,0.4,0.031,0.005,0.012,0.012,0.03,0.003,0,0,0,0
3420,09-08-19,Liverpool,Norwich,M Oliver,0.55,0.45,1,0,0.135,0.783,0.95,0,0.026,0.026,0.024,0.03,0.036,0.007,0,0,0,0.018
3628,02-01-20,Liverpool,Sheffield United,P Tierney,0.561,0.439,0.769,0.231,0.427,0.842,0.95,0,0.017,0.007,0.009,0.017,0.017,0.009,0,0,0,0
3663,01-02-20,Liverpool,Southampton,K Friend,0.7,0.3,0.583,0.417,0.521,0.683,0.95,0.25,0.021,0.013,0.015,0.03,0.012,0.022,0.009,0,0,0.011
3007,28-04-18,Liverpool,Stoke,A Marriner,0.73,0.27,0.38,0.62,0.594,0.175,0.85,0.4,0.004,0.003,0.01,0.024,0.016,0.003,0,0,0.004,0.009
2853,26-12-17,Liverpool,Swansea,K Friend,0.44,0.56,0.51,0.49,0.271,0.583,0.85,0.3,0.023,0.014,0.009,0.018,0.009,0.004,0.015,0,0,0.006
3518,27-10-19,Liverpool,Tottenham,A Taylor,0.608,0.392,0.659,0.341,0.49,0.675,0.95,0.85,0.04,0.017,0.02,0.03,0.022,0.008,0.012,0,0.019,0.022
3580,14-12-19,Liverpool,Watford,A Marriner,0.573,0.427,0.653,0.347,0.396,0.683,0.95,0.5,0.016,0.007,0.015,0.014,0.014,0.007,0.011,0,0.011,0.006
2823,13-12-17,Liverpool,West Brom,P Tierney,0.61,0.39,0.43,0.57,0.292,0.308,0.85,0.55,0.013,0.004,0.03,0.014,0.012,0.016,0.005,0,0.005,0
3048,12-08-18,Liverpool,West Ham,A Taylor,0.61,0.39,0.18,0.82,0.406,0.408,0.85,0.4,0.03,0.011,0.037,0.03,0.016,0.013,0.015,0,0.008,0.018
3617,29-12-19,Liverpool,Wolves,A Taylor,0.549,0.451,0.711,0.289,0.292,0.758,0.95,0.7,0.008,0.007,0.013,0.007,0.011,0.013,0.026,0,0.005,0
3288,03-02-19,Man City,Arsenal,M Atkinson,0.598,0.402,0.413,0.587,0.542,0.425,1,0.75,0.028,0.007,0.018,0.017,0.008,0.004,0.019,0,0.005,0.006
3511,26-10-19,Man City,Aston Villa,G Scott,0.514,0.486,0.8,0.2,0.292,0.758,1,0,0.028,0.022,0.022,0.014,0.035,0.019,0.006,0,0.006,0.007
3174,01-12-18,Man City,Bournemouth,S Attwell,0.78,0.22,0.35,0.65,0.792,0.392,1,0.45,0.016,0.004,0.017,0.008,0.019,0.01,0.006,0,0,0
3454,31-08-19,Man City,Brighton,J Moss,0.413,0.587,1,0,0.365,0.867,1,0.2,0.021,0.01,0.025,0.019,0.025,0.003,0.007,0,0.007,0.008
3124,20-10-18,Man City,Burnley,J Moss,0.63,0.37,0.36,0.64,0.458,0.442,1,0.7,0.031,0,0.024,0.014,0.027,0.003,0.006,0,0.012,0.014
